ID;Descrizione;Parte edibile  (g);Acqua (g);Energia (kcal);Energia (kJ);Proteine totali (g);Proteine animali (g);Proteine vegetali (g);Lipidi totali (g);Lipidi animali (g);Lipidi vegetali (g);Lipidi saturi (g);Acido oleico (g);Monoinsaturi totali (g);Acido linoleico (g);Acido linolenico (g);Altri polinsaturi (g);Polinsaturi totali (g);Colesterolo (mg);Glucidi dispon. (g);Amido (g);Glucidi solubili (g);Fibra alimentare  (g);Alcool g;Fe (mg);Ca (mg);Na (mg);K (mg);P (mg);Zn (mg);B1 (mg);B2 (mg);Niacina (mg);Vit. C (mg);Vit. B6 (mg);Acido Folico (mcg);Retinolo equivalenti (mcg);Vit. A (mcg);b-carotene (mcg);Vit. E (mg);Vit. D (mcg);Column43;Column44;Column45;Column46
1;ACCIUGHE o ALICI;75;76,5;96;402;16,8;16,8;0;2,6;2,6;0;0,69;0,34;0,63;0,05;0;0,83;0,88;70;1,5;0;1,5;0;0;2,8;148;104;278;196;1,5;0,06;0,26;14;0;0,14;9;32;32;0;0,29;11;1;1300;11001;ACCIUGHE o ALICI 
2;ACCIUGHE o ALICI SOTTO SALE    ;50;53,8;128;536;25;25;0;3,1;3,1;0;0,82;0,4;0,76;0,06;0;0,99;1,05;70;0;0;0;0;0;6,9;542;3604;215;481;1,7;0,06;0,26;14;0;0,14;8;55;55;0;0,29;4,6;1;1502;11004;ACCIUGHE o ALICI SOTTO SALE
3;ACCIUGHE o ALICI SOTT'OLIO     ;100;56;206;862;25,9;25,9;0;11,3;6,6;4,7;2,21;5,33;6,17;0,8;0,11;1,33;2,24;120;0,2;0;0,2;0;0;1,3;44;480;700;351;2,2;0,06;0,2;6,5;0;0,18;8;58;58;0;0,31;5;1;1501;11003;ACCIUGHE o ALICI SOTT'OLIO
4;ACETO        ;100;99;4;17;0,4;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0,6;0;0;0,5;15;20;89;32;0,6;0;0;0;0;0;0;0;0;0;0;0;1;100205;24002;ACETO
5;ACQUA        ;100;99,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;999999;26001;ACQUA 
6;ACQUA TONICA       ;100;91,1;33;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,8;0;8,8;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;777021;16001;ACQUA TONICA
7;AGAR AGAR secco      ;100;9,7;16;67;1,6;0;1,6;1,2;0;1,2;0,24;0,04;0,11;0,02;0;0,39;0,41;0;0;0;0;81,1;0;20,6;760;110;110;50;14,4;0,01;0,22;0,2;0;0;0;0;0;0;0;0;1;8031;2011;AGAR AGAR [EUCHEUMA spp], secco
8;AGLIO  fresco      ;75;80;41;172;0,9;0;0,9;0,6;0;0,6;0,11;0,01;0,01;0,27;0,02;0;0,3;0;8,4;0;8,4;2,3;0;1,5;14;2;347;63;0,6;0,14;0,02;1,3;5;0,21;3;5;0;30;0,01;0;1;301;2005;AGLIO [ALLIUM SATIVUM], fresco
9;AGLIO  in polvere     ;100;6,5;246;1029;18,7;0;18,7;1,2;0;1,2;0,21;0,03;0,03;0,55;0,05;0;0,6;0;42,7;38,5;4,2;9,9;0;3,9;65;19;1360;220;2,6;0,47;0,12;0,7;0;0,99;0;0;0;0;0,03;0;1;603501;2005;AGLIO, in polvere
10;AGNELLO        ;83;70,1;162;678;20,8;20,8;0;8,8;8,8;0;4,15;3,14;3,25;0,2;0,2;0;0,41;71;0;0;0;0;0;1,6;7;88;350;190;3,3;0,14;0,28;6;0;0,3;6;0;0;0;0,09;0,4;1;1060;10080;AGNELLO [OVIS AGNUS]
11;AGNELLO CARNE GRASSA      ;100;58;279;1167;18;18;0;23;23;0;10,86;8,21;8,49;0,54;0,54;0;1,07;79;0;0;0;0;0;2;10;100;350;200;2;0,1;0,19;3,8;0;0,23;3;12;12;0;0,07;0,4;1;100035;10080;AGNELLO, CARNE GRASSA
12;AGNELLO CARNE MAGRA      ;100;73;121;506;20;20;0;4,6;4,6;0;2,17;1,64;1,7;0,11;0,11;0;0,21;71;0;0;0;0;0;2;10;100;350;196;3,3;0,1;0,2;4,9;0;0,3;6;6;6;0;0,09;0,4;1;100033;10080;AGNELLO, CARNE MAGRA
13;AGNELLO CARNE SEMIGRASSA      ;100;65;211;883;19;19;0;15;15;0;7,08;5,36;5,54;0,35;0,35;0;0,7;71;0;0;0;0;0;2;10;100;350;200;2,6;0,1;0,19;4;0;0,19;2;10;10;0;0,07;0,6;1;100034;10080;AGNELLO, CARNE SEMIGRASSA
14;AGNELLO CORATELLA       ;100;77,2;110;460;15,7;15,7;0;4,7;4,7;0;1,66;1,15;1,32;0,23;0,11;0,21;0,56;240;1,2;0;1,2;0;0;8,8;9;103;290;282;2,8;0,45;2,04;10,3;18;0,36;92;7500;7494;36;0,54;0,45;1;1262;10081;AGNELLO, CORATELLA
15;AGNELLO COSTOLETTE       ;77;48,7;386;1615;14,6;14,6;0;36,3;36,3;0;17,14;12,96;13,4;0,85;0,85;0;1,69;71;0;0;0;0;0;1,2;7;60;230;130;1,9;0,09;0,16;3,9;0;0,34;11;0;0;0;0,07;0,4;1;700499;10080;AGNELLO, COSTOLETTE
16;AGRETTI        ;97;92,3;17;71;1,8;0;1,8;0,2;0;0,2;0,01;0,02;0,07;0,04;0,02;0;0,07;0;2,2;0;2,2;2,3;0;1,2;131;14;606;34;0,2;0,03;0,19;0,8;24;0,25;80;392;0;2352;0,7;0;1;302;2008;AGRETTI [LEPIDUM SATIVUM]
17;ALBICOCCHE        ;94;86,3;28;117;0,4;0;0,4;0,1;0;0,1;0,01;0,04;0,04;0,02;0;0;0,02;0;6,8;0;6,8;1,5;0;0,5;16;1;320;16;0,1;0,03;0,03;0,5;13;0,08;5;360;0;2160;0,61;0;1;401;4001;ALBICOCCHE (PRUNUS ARMENIACA)
18;ALBICOCCHE polpa secca      ;100;14,7;188;787;4,8;0;4,8;0,7;0;0,7;0,05;0,3;0,3;0,14;0;0;0,14;0;43,4;0;43,4;21,6;0;4,1;92;56;1880;120;0,7;0;0,2;3;0;0,17;14;108;0;645;1,9;0;1;500038;4001;ALBICOCCHE, polpa secca
19;ALCOOL PURO       ;100;5,7;660;2762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19002;17005;ALCOOL PURO
20;ALLORO secco       ;100;5,4;313;1310;7,6;0;7,6;8,4;0;8,4;2,29;1,51;1,65;1,25;1,05;0;2,3;0;48,6;0;48,6;26,3;0;43;830;23;530;110;3,7;0,01;0,42;2;0;1;0;618;0;3710;1,79;0;1;8004;24001;ALLORO [LAURUS NOBILIS], secco
21;AMARENE        ;85;84,2;41;172;0,8;0;0,8;0;0;0;0;0;0;0;0;0;0;0;10,2;0;10,2;1,1;0;0,4;15;2;114;17;0,1;0,03;0,05;0,4;7;0,05;9;24;0;144;0,14;0;1;402;4001;AMARENE [PRUNUS CERASUS]
22;AMARI (> 35 %vol)     ;100;66,6;232;971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0,5;0;32,9;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;100232;17004;AMARI AD ALTA GRADAZIONE (superiori a 35 %vol)
23;AMARI (tra 23 e 30 %vol)   ;100;47,5;261;1092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,8;0;32,8;0;19,7;0,1;5;12;34;7;0;0;0;0;0;0;0;0;0;0;0;0;1;100231;17002;AMARI A BASSA GRADAZIONE (tra 23 e 30 %vol)
24;AMIDO        ;100;9;379;1586;0,4;0;0,4;0,2;0;0,2;0,04;0,06;0,06;0,1;0;0;0,1;0;100,1;100,1;0;0;0;0,4;13;9;3;11;0,1;0,1;0,02;0,1;0;0,2;0;0;0;0;0;0;1;100143;8002;AMIDO
25;ANANAS        ;57;86,4;40;167;0,5;0;0,5;0;0;0;0;0;0;0;0;0;0;0;10;0;10;1;0;0,5;17;2;250;8;0,1;0,05;0,01;0,2;17;0,09;5;7;0;42;0,1;0;1;403;4001;ANANAS [ANANAS SATIVUS]
26;ANANAS SCIROPPATA       ;100;77;77;322;0,3;0;0,3;0;0;0;0;0;0;0;0;0;0;0;20,2;0;20,2;0,9;0;0,4;13;1;94;5;0,1;0,05;0,02;0,2;12;0,09;1;7;0;40;0,08;0;1;100196;4002;ANANAS SCIROPPATA
27;ANATRA        ;80;68,8;159;665;21,4;21,4;0;8,2;8,2;0;2,29;3,79;4,18;1,1;0,13;0;1,23;110;0;0;0;0;0;1,3;12;110;290;200;1,9;0,19;0,18;7,7;0;0,34;25;80;80;0;0,02;0,4;1;1080;10050;ANATRA [ANAS BOSCHAS]
28;ANGUILLA DI FIUME      ;71;61,5;261;1092;11,8;11,8;0;23,7;23,7;0;4,79;5,63;14,61;0,4;0,88;0,65;1,92;117;0,1;0;0,1;0;0;1;31;65;217;218;3,4;0,15;0,2;3,5;2;0,34;16;1200;1200;0;5,55;6,57;1;1301;11001;ANGUILLA DI FIUME [ANGUILLA ANGUILLA]
29;ANGUILLA DI MARE      ;70;62,8;237;992;14,6;14,6;0;19,6;19,6;0;3,96;4,66;12,09;0,33;0,73;0,54;1,59;117;0,7;0;0,7;0;0;0,6;17;87;270;223;2,5;0,18;0,32;2,6;2;0,25;12;980;980;0;4,14;4,9;1;1302;11001;ANGUILLA DI MARE [ANGUILLA ANGUILLA]
30;ANGUILLA MARINATA       ;88;59,9;259;1084;14,8;14,8;0;21,9;21,9;0;4,43;5,22;13,53;0,37;0,81;0,6;1,78;117;0,6;0;0,6;0;0;0,7;18;89;270;202;2,5;0,28;0,37;3,5;0;0,25;12;940;940;0;4,14;4,9;1;1503;11004;ANGUILLA MARINATA
31;APERITIVI (fino a 22 %vol)    ;100;0;186;778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;17;0;17,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4000;17002;APERITIVI (fino a 22 %vol)
32;ARACHIDI  CRUDE      ;79;7,1;571;2389;26;0;26;47,2;0;47,2;6,73;21,27;21,76;12,97;0,42;0;13,4;0;11,2;6,7;4,5;7,3;0;3,2;60;2;670;239;3,5;1,52;0,09;13,8;2;0,59;110;0;0;0;10,09;0;1;501;4003;ARACHIDI [ARACHIS HYPOGEA] CRUDE
33;ARACHIDI TOSTATE       ;65;2,3;597;2498;29;0;29;50;0;50;7,13;22,53;23,05;13,74;0,45;0;14,19;0;8,5;5,4;3,1;10,9;0;3,5;64;6;680;283;3,9;0,16;0,08;14;0;0,54;66;0;0;0;1,11;0;1;502;4003;ARACHIDI TOSTATE
34;ARACHIDI TOSTATE E SALATE     ;100;1,9;602;2519;24,5;0;24,5;53;0;53;7,56;23,88;24,43;14,56;0,48;0;15,04;0;7,1;3,3;3,8;6,9;0;1,3;37;400;810;410;2,9;0,18;0,1;13,6;0;0,63;52;0;0;0;0,66;0;1;701384;4003;ARACHIDI TOSTATE E SALATE
35;ARAGOSTA        ;29;78,1;86;360;16,2;16,2;0;1,9;1,9;0;0,3;0,26;0,35;0,02;0,01;0,72;0,74;164;1;0;0;0;0;0,8;60;177;180;280;5,7;0,15;0,18;2;2;0,15;1;0;0;0;1,47;0;1;1303;11002;ARAGOSTA [PALINURUS ELEPHAS]
36;ARANCE        ;80;87,2;34;142;0,7;0;0,7;0,2;0;0,2;0,03;0,03;0,04;0,03;0,01;0;0,04;0;7,8;0;7,8;1,6;0;0,2;49;3;200;22;0,2;0,06;0,05;0,2;50;0,1;31;71;0;426;0,24;0;1;404;4001;ARANCE [CITRUS AURANTIUM]
37;ARANCE  SCORZA      ;100;72,5;97;406;1,5;0;1,5;0,2;0;0,2;0,02;0,03;0,04;0,03;0,01;0;0,04;0;14,4;0;14,4;10,6;0;0,8;161;3;212;21;0,3;0,12;0,09;0,9;136;0,18;30;42;0;252;0,24;0;1;702404;4001;ARANCE, SCORZA
38;ARANCIATA IN LATTINA      ;100;86;38;159;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;10;0;10;0;0;0,3;11;0;18;5;0,2;0;0;0;1;0;1;16;0;94;0;0;1;3007;16001;ARANCIATA IN LATTINA
39;ARINGA        ;50;68;190;795;17,8;17,8;0;13,2;13,2;0;2,63;1,86;6,82;0,17;0,15;1,74;2,06;50;0;0;0;0;0;1,2;60;120;320;230;0,9;0,01;0,26;4,1;0;0,44;9;44;44;0;0,76;19;1;8029;11001;ARINGA [CLUPEA HARENGUS]
40;ARINGA AFFUMICATA       ;70;62,5;194;812;19,9;19,9;0;12,7;12,7;0;2,53;1,79;6,56;0,17;0,14;1,67;1,98;82;0;0;0;0;0;1,4;66;918;447;254;1,4;0,13;0,28;3,3;0;0,41;14;9;9;0;1;16;1;1504;11004;ARINGA AFFUMICATA
41;ARINGA MARINATA       ;95;60,2;199;833;18,3;18,3;0;14;14;0;2,79;1,97;7,23;0,18;0,16;1,84;2,19;42;0;0;0;0;0;0,7;30;1030;98;150;0,3;0,05;0,21;3,3;0;0,11;1;46;46;0;0,64;16;1;1505;11004;ARINGA MARINATA
42;ARINGA SALATA       ;73;48,8;218;912;19,8;19,8;0;15,4;15,4;0;3,07;2,17;7,96;0,2;0,18;2,03;2,41;42;0;0;0;0;0;1,9;112;4096;366;293;1,9;0,04;0,29;3;0;0,11;15;48;48;0;0,64;16;1;1506;11004;ARINGA SALATA
43;ASIAGO        ;100;36;356;1490;31,4;31,4;0;25,6;25,6;0;15,89;7;8,28;0,53;0,38;0;0,9;90;0;0;0;0;0;0,7;770;760;97;530;2,2;0,03;0,35;0,1;0;0,09;40;200;175;150;0,48;0,19;1;100009;7001;ASIAGO
44;ASPARAGI DI BOSCO      ;57;89,3;35;146;4,6;0;4,6;0,2;0;0,2;0,05;0,01;0,01;0,08;0,01;0;0,09;0;4;0;4;2,6;0;1,1;25;5;198;90;0,9;0,13;0,43;1,5;23;0,11;218;155;0;930;1,44;0;1;303;2001;ASPARAGI DI BOSCO [ASPARAGUS OFFICINALIS]
45;ASPARAGI DI CAMPO      ;87;91,4;29;121;3,6;0;3,6;0,2;0;0,2;0,05;0,01;0,01;0,08;0,01;0;0,09;0;3,3;0;3,3;2,1;0;1,2;25;2;240;77;0,3;0,21;0,29;1;18;0,09;175;82;0;492;1,16;0;1;304;2001;ASPARAGI DI CAMPO
46;ASPARAGI DI SERRA      ;52;92;24;100;3;0;3;0,1;0;0,1;0,02;0;0;0,04;0;0;0,04;0;3;0;3;2,1;0;1;24;2;278;65;0,8;0,27;0,25;0,9;24;0,09;175;13;0;78;1,16;0;1;305;2001;ASPARAGI DI SERRA
47;ASPARAGI IN SCATOLA      ;100;94;19;79;2,1;0;2,1;0,7;0;0,7;0,15;0,02;0,02;0,27;0,02;0;0,28;0;0,9;0;0,9;1,6;0;1,8;16;287;172;43;0,4;0,06;0,1;1;18;0,11;96;53;0;318;0,43;0;1;700484;2001;ASPARAGI IN SCATOLA
48;ASTICE        ;36;76,8;90;377;18,8;18,8;0;0,9;0,9;0;0,06;0,06;0,17;0;0,06;0,17;0,23;95;0,5;0;0;0;0;0,3;48;296;275;144;3;0,01;0,05;1,5;0;0,06;9;21;21;0;1,47;0;1;602004;11002;ASTICE [HOMARUS VULGARIS]
49;AVENA        ;100;8,2;389;1628;16,9;0;16,9;6,9;0;6,9;1,22;2,17;2,18;2,42;0,11;0;2,53;0;55,7;52,9;2,8;10,6;0;4,7;54;2;429;523;4;0,76;0,14;1;0;0,12;56;0;0;0;0,7;0;1;600009;8001;AVENA [AVENA SATIVA]
50;AVOCADO        ;76;64;231;967;4,4;0;4,4;23;0;23;2,7;16,51;17,28;1,89;0,08;0,02;2;0;1,8;0;1,8;3,3;0;0,6;13;2;450;44;0,5;0,09;0,12;1,1;18;0,47;14;14;0;84;4,19;0;1;999692;4001;AVOCADO [PERSEA GRATISSIMA]
51;BABA' AL RHUM      ;100;49,4;252;1054;5,9;4,6;1,3;5,7;5,6;0,1;2,81;1,62;1,83;0,3;0,07;0,02;0,37;151;41,4;22,9;18,5;0,9;3,1;2,3;22;315;74;40;0,6;0;0,11;0,5;0;0,05;9;0;0;0;2,35;2,52;1;2000;15004;BABA' AL RHUM
52;BABACO        ;100;95;21;88;0,7;0;0,7;0,1;0;0,1;0,03;0,01;0,03;0;0,02;0;0,02;0;4,5;0;4,5;1,1;0;0,3;13;1;165;7;0,1;0,03;0,02;0,5;28;0,03;1;27;0;162;1,12;0;1;430;4001;BABACO [CARICA PENTAGONA]
53;BACCALA'   ammollato     ;82;75,6;95;397;21,6;21,6;0;1;1;0;0,19;0,09;0,14;0,01;0;0,33;0,34;50;0;0;0;0;0;2,3;31;2045;424;562;0,4;0,28;0,11;2,4;0;0,18;12;0;0;0;0,44;0;1;1507;11004;BACCALA' [MERLUCCIUS MERLUCCIUS], ammollato
54;BACCALA'  secco       ;75;52,4;122;510;29;29;0;0,7;0,7;0;0,14;0,06;0,1;0,01;0;0,23;0,24;82;0;0;0;0;0;1,8;224;3989;828;224;0,9;0,08;0,23;2,4;0;0,49;14;7;7;0;0,1;0;1;1508;11004;BACCALA', secco
55;BANANA        ;65;76,8;66;276;1,2;0;1,2;0,3;0;0,3;0,1;0,03;0,03;0,04;0,05;0;0,09;0;15,5;2,7;12,8;1,8;0;0,8;7;1;350;28;0,2;0,06;0,06;0,7;16;0,29;14;45;0;270;0,27;0;1;406;4001;BANANA [MUSA SAPIENTIUM]
56;BARBABIETOLE ROSSE       ;82;91,3;20;84;1,1;0;1,1;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2,6;0;0,4;20;84;300;21;0,4;0,03;0,02;0,2;7;0,02;101;0;0;0;0;0;1;306;2003;BARBABIETOLE ROSSE [BETA VULGARIS, CV RAPA, FORMA RUBRA]
57;BASILICO   fresco     ;100;88;40;167;3,1;0;3,1;0,8;0;0,8;0,05;0,12;0,12;0,1;0,41;0;0,51;0;5,1;0;5,1;5,2;0;5,5;250;9;300;37;0,7;0,08;0,31;1,1;26;0,17;85;658;0;3950;1,7;0;1;8001;24001;BASILICO [OCIMUM BASILICUM], fresco
58;BASILICO  secco macinato      ;100;6,4;251;1050;14,4;0;14,4;4;0;4;0,27;0,58;0,58;0,48;2,07;0;2,55;0;43,2;0;43,2;17,8;0;42;2110;34;3430;490;5,8;0,15;0,32;6,9;0;0,13;0;938;0;5630;9,15;0;1;8002;24001;BASILICO, secco macinato
59;BEVANDE GASSATE DIETETICHE      ;100;93,8;17;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,3;0;4,3;0;0;0;5;7;15;0;0;0;0;0;35;0;0;0;0;0;0;0;1;666009;16001;BEVANDE GASSATE DIETETICHE
60;BIETA        ;82;94,5;17;71;1,3;0;1,3;0,1;0;0,1;0,02;0,02;0,02;0,03;0;0;0,04;0;2,8;0;2,8;1,2;0;1;67;158;286;29;0,4;0,03;0,19;1,8;24;0,07;124;263;0;1578;1,05;0;1;307;2008;BIETA [BETA VULGARIS, CV CICLA]
61;BIETA IN SCATOLA      ;100;91;31;130;0,9;0;0,9;0,1;0;0,1;0,02;0,03;0,03;0,05;0;0;0,05;0;5,5;0;5,5;1,7;0;1,8;15;194;148;17;0,2;0,01;0,04;0,2;4;0,06;30;1;0;6;0,3;0;1;700485;2008;BIETA IN SCATOLA
62;BIGNE'        ;100;37,4;318;1331;4,6;3;1,6;15,4;15,1;0,3;7,37;4,45;5,04;0,97;0,17;0,05;1,16;189;43;13;30;0,5;0;0,7;31;240;360;66;0,1;0,02;0,07;0,3;0;0,03;8;268;253;88;1,25;0,25;1;2027;15004;BIGNE'
63;BIRRA CHIARA       ;100;93,5;34;142;0,2;0;0,2;0;0;0;0;0;0;0;0;0;0;0;3,5;0;3,5;0;2,8;0;1;10;35;28;0;0;0,03;0;1;0,01;4;0;0;0;0;0;1;4001;17003;BIRRA CHIARA
64;BIRRA SCURA       ;100;93,3;30;126;0,3;0;0,3;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;2,5;0;7;16;33;11;0,3;0;0,02;0,3;0;0,01;4;0;0;0;0;0;1;609024;17003;BIRRA SCURA
65;BISCOTTI AL LATTE      ;100;5;417;1745;13,8;5,1;8,7;8,5;6,9;1,6;1,7;3,69;3,7;2,53;0,12;0;2,65;26;76,1;40,4;35,7;1,2;0;1,9;104;491;366;225;0,4;0,29;0,26;2,4;0;0,03;11;0;0;0;3,77;0;1;100221;15007;BISCOTTI AL LATTE
66;BISCOTTI FROLLINI       ;100;2;493;2063;7,4;4,4;3;21;16,4;4,6;10,45;6,78;7,16;1,63;0,1;0,44;2,17;74;68,5;48,5;20;1,5;0;1,8;87;275;110;85;0,6;0,16;0,04;0,9;0;0,05;13;0;0;0;1,3;0;1;450085;15007;BISCOTTI FROLLINI
67;BISCOTTI INTEGRALI       ;100;3;448;1874;8,5;3,1;5,4;19,5;13,4;6,1;5,96;7,55;8;4,01;0,23;0,02;4,26;9;59,5;42,5;17;8;0;3,5;110;314;390;340;2,8;0,34;0,16;4,9;1;0,36;27;79;74;28;1,76;0,46;1;701307;15007;BISCOTTI INTEGRALI
68;BISCOTTI PER L'INFANZIA      ;100;5,3;417;1745;13,8;3,5;10,3;8,5;4;4,5;2,41;4,8;4,8;0,64;0,03;0,05;0,72;0;76,1;40,4;35,7;0,2;0;0,9;22;410;140;157;1,1;0,08;0,19;0,5;40;0,6;10;0;0;0;0,46;2,5;1;71;15007;BISCOTTI PER L'INFANZIA
69;BISCOTTI 'PETIT BEURRE'      ;100;4;415;1736;6;2,2;3,8;8,2;6,6;1,6;4,67;2,07;2,25;0,3;0,12;0,01;0,43;87;84,7;54,6;30,1;0,4;0;1;32;241;111;144;0,6;0,18;0,14;0,9;0;0,04;6;0;0;0;1,4;0;1;100144;15007;BISCOTTI 'PETIT BEURRE'
70;BISCOTTI RICOPERTI AL CIOCCOLATO     ;100;2,2;524;2192;5,7;2,5;3,2;27,6;20,4;7,2;5,55;15,82;15,85;3,54;0,06;0;3,6;2;67,4;24;43,4;2,9;0;1,7;110;160;230;130;0,8;0,03;0,13;0,5;0;0,04;5;0;0;0;1,43;0;1;10098;15007;BISCOTTI RICOPERTI AL CIOCCOLATO
71;BISCOTTI SAVOIARDO       ;100;8,5;392;1640;11,9;9,3;2,6;9,2;9;0,2;2,83;3,17;3,47;0,97;0;0,14;1,11;261;69,8;30,5;39,3;1,8;0;2;40;82;120;180;1;0,1;0,12;0;0;0,08;18;0;0;0;1,02;0,7;1;81;15007;BISCOTTI SAVOIARDO
72;BISCOTTI WAFERS       ;100;4;454;1900;7,1;4,7;2,4;15;10;5;3,86;7,97;8;1,76;0,03;0;1,8;24;77,6;50,9;26,7;1,6;0;1,6;73;70;160;83;0,6;0,09;0,08;0,5;0;0,03;11;0;0;0;1,9;0;1;80;15007;BISCOTTI WAFERS
73;BISCOTTO PER LA PRIMA COLAZIONE    ;100;2,2;418;1749;6,6;2,4;4,2;7,9;6,4;1,5;3,06;2,61;2,96;1,12;0,09;0,01;1,22;128;85,4;66,9;18,5;5,7;0;0,9;22;410;140;157;0,6;0,08;0,19;0,5;0;0,06;13;0;0;0;1,4;0;1;70;15007;BISCOTTO PER LA PRIMA COLAZIONE
74;BOVINO  CERVELLO       ;100;76,6;157;657;9,8;9,8;0;12,7;12,7;0;2,95;2,02;2,53;0,03;0;1,43;1,46;2000;0,8;0;0,8;0;0;3,6;16;140;270;330;1,2;0,25;0,28;6;18;0,26;4;0;0;0;1,2;0;1;1201;10041;BOVINO, CERVELLO
75;BOVINO  CUORE       ;100;75,5;123;515;16,8;16,8;0;6;6;0;2,94;1,38;1,59;0,12;0,02;0,03;0,18;150;0,5;0;0,5;0;0;4,6;9;95;320;203;1,8;0,58;0,89;8,2;6;0,23;4;3;3;0;0,77;1;1;1203;10041;BOVINO, CUORE
76;BOVINO  FEGATO       ;100;70;146;611;21;21;0;4,4;4,4;0;1,62;0,59;0,7;0,24;0,08;0,6;0,92;300;5,9;0;5,9;0;0;8,8;7;81;320;350;4;0,26;3,3;13,5;31;0,83;330;16500;16207;1758;0,24;0,62;1;1204;10041;BOVINO, FEGATO
77;BOVINO  LESSATO IN GELATINA  IN SCATOLA   ;100;79;87;364;13,9;13,9;0;3,5;3,5;0;1,48;1,45;1,71;0,07;0,05;0,03;0,15;65;0;0;0;0;0;1,7;20;950;140;100;5,6;0,15;0,18;4,7;0;0,06;2;0;0;0;0,78;0;1;1100;10040;BOVINO, LESSATO IN GELATINA, IN SCATOLA
78;BOVINO  LINGUA       ;100;64;231;967;17,1;17,1;0;18;18;0;7,71;7,33;8,23;0,65;0;0,36;1,01;78;0,4;0;0,4;0;0;2,8;9;73;197;187;3,5;0,13;0,3;3,9;3;0,18;6;0;0;0;0,28;0;1;1205;10041;BOVINO, LINGUA
79;BOVINO  LINGUA SALMISTRATA      ;100;56;260;1088;22,5;22,5;0;18,8;18,8;0;8,18;7,65;8,46;0,68;0;0,37;1,05;87;0,2;0;0,2;0;0;3;6;86;315;133;2,9;0,13;0,34;4,2;3;0,31;7;0;0;0;0,1;0;1;700342;10040;BOVINO, LINGUA SALMISTRATA
80;BOVINO  MIDOLLO OSSEO      ;100;5;822;3439;3,2;3,2;0;89,9;89,9;0;27,34;13,92;15,64;9,98;0,99;12,07;23,03;300;0;0;0;0;0;0;89;0;0;0;0;0;0,01;5;0;0;0;0;0;0;0;0;1;1299;10041;BOVINO, MIDOLLO OSSEO
81;BOVINO  MILZA       ;100;75,3;107;448;18,5;18,5;0;3,7;3,7;0;1,57;1,53;1,81;0,07;0,05;0,04;0,16;324;0;0;0;0;0;42;12;85;429;250;2,1;0,28;0,39;4,4;46;0,07;0;147;147;0;0;0;1;1206;10041;BOVINO, MILZA
82;BOVINO  POLMONE       ;100;83;75;314;14;14;0;2,1;2,1;0;0,72;0,39;0,54;0,14;0,02;0,13;0,29;168;0;0;0;0;0;6,7;15;198;340;173;1,3;0,23;0,25;2;40;0,03;9;0;0;0;0;0;1;1207;10041;BOVINO, POLMONE
83;BOVINO  RENE       ;100;76,5;118;494;18,4;18,4;0;4,6;4,6;0;1,93;1,07;1,2;0,16;0,02;0,09;0,27;375;0,8;0;0,8;0;0;8;9;180;230;220;1,9;0,37;2,25;5,8;13;0,37;63;345;209;818;1,2;0;1;1208;10041;BOVINO, RENE
84;BOVINO  SANGUE       ;100;80,5;75;314;17,8;17,8;0;0,1;0,1;0;0,04;0,04;0,05;0;0;0;0;190;0,8;0;0,8;0;0;49;6;330;44;19;0,2;0,09;0,03;0,8;0;0;7;21;5;93;0,4;0,1;1;805249;10041;BOVINO, SANGUE
85;BOVINO  TRIPPA       ;100;72;108;452;15,8;15,8;0;5;5;0;2,57;1,46;2,2;0,06;0,03;0;0,09;64;0;0;0;0;0;4;8;107;18;50;0,7;0,14;0,18;1,6;3;0;7;0;0;0;0,08;0;1;1209;10041;BOVINO, TRIPPA
86;BRA        ;100;40;328;1372;30,7;30,7;0;22,8;22,8;0;14,15;6,24;7,38;0,47;0,34;0;0,8;90;0;0;0;0;0;0,4;770;897;97;530;2,2;0,03;0,35;0,1;0;0,09;40;200;175;150;0,48;0,19;1;100010;7001;BRA
87;BRANDY        ;100;68;224;937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4002;17004;BRANDY
