ID;Descrizione;Parte edibile  (g);Acqua (g);Energia (kcal);Energia (kJ);Proteine totali (g);Proteine animali (g);Proteine vegetali (g);Lipidi totali (g);Lipidi animali (g);Lipidi vegetali (g);Lipidi saturi (g);Acido oleico (g);Monoinsaturi totali (g);Acido linoleico (g);Acido linolenico (g);Altri polinsaturi (g);Polinsaturi totali (g);Colesterolo (mg);Glucidi dispon. (g);Amido (g);Glucidi solubili (g);Fibra alimentare  (g);Alcool g;Fe (mg);Ca (mg);Na (mg);K (mg);P (mg);Zn (mg);B1 (mg);B2 (mg);Niacina (mg);Vit. C (mg);Vit. B6 (mg);Acido Folico (mcg);Retinolo equivalenti (mcg);Vit. A (mcg);b-carotene (mcg);Vit. E (mg);Vit. D (mcg);Column43;Column44;Column45;Column46
607;RISO SOFFIATO       ;100;11,7;369;1544;6,1;0;6,1;0,9;0;0,9;0,2;0,23;0,23;0,32;0;0;0,32;0;89,7;79,1;10,6;1,1;0;6,7;20;1260;150;130;1,1;1;1,5;16;0;1,8;250;0;0;0;0,6;0;1;700027;8003;RISO SOFFIATO
608;RISO TIPO PARBOILED      ;100;12,4;364;1523;6,7;0;6,7;1;0;1;0,27;0,31;0,31;0,22;0,05;0;0,27;0;79,3;79,3;0;2,2;0;1,2;7;2;150;130;2;0,2;0,08;2,6;0;0,35;11;0;0;0;0,13;0;1;60089;8001;RISO, TIPO PARBOILED
609;ROBIOLA        ;100;51;309;1293;18,9;18,9;0;25,9;25,9;0;16,07;7,08;8,38;0,53;0,38;0;0,91;90;0;0;0;0;0;0,7;704;1110;96;374;4,1;0,05;0,24;0,8;0;0,08;19;293;275;105;0,24;0,17;1;100030;7001;ROBIOLA
610;ROCHEFORT        ;100;41,3;375;1569;19,7;19,7;0;32,9;32,9;0;20,68;8,01;9,09;0,67;0,75;0;1,42;90;0;0;0;0;0;0,4;530;1670;31;400;1,6;0,04;0,65;0,5;0;0,09;45;297;295;10;0,55;0,18;1;605532;7001;ROCHEFORT
611;ROMBO        ;55;79,5;81;339;16,3;16,3;0;1,3;1,3;0;0,17;0,12;0,25;0;0,17;0,56;0,73;70;1,2;0;1,2;0;0;1,2;38;83;319;264;0,2;0,05;0,11;3,7;0;0,21;8;0;0;0;0,4;0;1;1318;11001;ROMBO [RHOMBUS MAXIMUM]
612;ROSMARINO   fresco     ;100;73,6;96;402;1,4;0;1,4;4,4;0;4,4;1,14;0,22;0,29;0,45;1,79;0;2,25;0;13,5;0;13,5;7,7;0;8,5;370;15;280;20;0,9;0,1;0,21;1;29;0,09;0;92;0;550;1,5;0;1;8013;24001;ROSMARINO [ROSMARINUS OFFICINALIS], fresco
613;ROSMARINO secco       ;100;9,3;331;1385;4,9;0;4,9;15,2;0;15,2;3,94;0,76;0,99;1,56;6,2;0;7,76;0;46,4;0;46,4;17,7;0;29,3;1280;50;950;70;3,2;0,1;0,32;1;0;0,38;0;313;0;1880;9,15;0;1;8014;24001;ROSMARINO, secco
614;RUCOLA        ;40;91,7;25;105;2,6;0;2,6;0,7;0;0,7;0,09;0,05;0,05;0,13;0,17;0;0,32;0;2,1;0;2,1;1,6;0;1,5;160;27;369;52;0,4;0,04;0,09;0,3;15;0,07;97;237;0;1422;0,43;0;1;700169;2008;RUCOLA [ERUCA SATIVA]
615;SALAME CACCIATORE       ;100;30,6;424;1774;28,5;28,5;0;34;34;0;10,8;14,91;16,33;4,17;0,21;0,52;4,9;99;1,2;0;1,2;0;0;1,8;59;2064;600;356;5;0,28;0,16;2,5;0;0,15;3;0;0;0;0,28;0;1;8504;10003;SALAME CACCIATORE
616;SALAME DA CUOCERE      ;100;48;326;1364;36;36;0;19,6;19,6;0;6,23;7,78;8,34;2,75;0,49;0,26;3,51;60;1,5;0;1,5;0;0;1,6;50;2339;707;356;5,4;0,17;0,15;5,9;0;0,36;3;0;0;0;0,23;0;1;100077;10003;SALAME DA CUOCERE
